,KW-H PRED
0,2582.288
1,2911.652
2,3502.5386
3,3837.3281
4,3849.9424
5,4052.3208
6,3946.712
7,3881.1345
8,3927.7427
9,3836.6467
10,3862.5813
11,3672.318
12,3711.742
13,3617.07
14,3525.8337
15,3849.5356
16,3794.874
17,3785.3005
18,3801.7073
19,3804.5986
20,4314.32
21,4101.316
22,3728.095
23,3845.7837
24,3842.4844
25,3821.9485
26,3822.6104
27,3824.0273
28,4026.0383
29,4083.8992
30,4061.8887
31,4074.0142
32,4282.989
33,4332.9565
34,4311.9937
35,4228.9106
36,4166.218
37,3896.2327
38,3963.961
39,3955.5542
40,3939.612
41,3937.1904
42,4036.2195
43,4010.8372
44,4009.282
45,4013.0654
46,4012.2432
47,4011.332
48,4011.1907
49,4212.691
50,4163.6846
51,4166.583
52,4178.4
53,4180.1436
54,4181.43
55,4183.76
56,4385.2153
57,4331.4985
58,4337.5967
59,4349.9175
60,4351.954
61,4156.806
62,4015.463
63,4063.388
64,4048.8904
65,4036.8787
66,4034.686
67,4031.853
68,4028.4268
69,4025.6316
70,4023.1929
71,4021.0847
72,4019.3367
73,4017.893
74,3233.6064
75,3767.2856
76,4093.17
77,3973.0493
78,3982.619
79,4005.0127
80,4406.853
81,4302.541
82,4309.913
83,4333.981
84,3556.6406
85,3324.2175
86,3381.3223
87,3334.0798
88,3503.7769
89,3672.9556
90,3834.9312
91,3799.0283
92,4005.6313
93,3973.1804
94,3972.1138
95,3984.0906
96,3202.633
97,3317.5718
98,2929.4631
99,2914.7456
100,2914.825
101,3096.8232
102,2885.8767
103,2777.4387
104,4229.6025
105,4045.1682
106,3854.5938
107,3750.816
108,2745.9875
109,2264.0793
110,2281.12
111,2550.1912
112,2554.5364
113,2715.11
114,2719.3171
115,3086.2903
116,3874.5688
117,3759.806
118,3707.9258
119,3159.1357
120,2840.4785
121,2691.988
122,2692.8882
123,2688.7087
124,2683.2202
125,2682.2114
126,2496.548
127,2486.8923
128,3592.7188
129,3644.3835
130,3523.8276
131,3558.2559
132,2629.1343
133,2291.445
134,2329.2969
135,2336.7559
136,2329.8103
137,2329.2532
138,2330.2698
139,3289.095
140,3297.8022
141,3178.3167
142,3192.9736
143,3207.9602
144,3204.5334
145,3202.9456
146,2816.9963
147,2831.9756
148,2573.8643
149,2469.6282
150,2303.2363
151,2300.009
152,3693.9458
153,3847.3108
154,3680.885
155,3724.079
156,2705.6545
157,2481.2336
158,2525.857
159,2516.8333
160,2691.3213
161,2697.52
162,3067.4893
163,3062.5723
164,3832.6194
165,3754.1787
166,3504.527
167,3173.0986
